(2.12608, 1.44719) (-2.17309, -0.908717) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52571) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.19853, -0.873985) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94276, -1.52578) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.2184, -0.830939) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.23534, -0.775476) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52582) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.2459, -0.716041) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52582) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.25356, -0.652691) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94276, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.25845, -0.602652) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.26134, -0.537913) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52582) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.26354, -0.497259) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94276, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.26753, -0.45864) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94276, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.27038, -0.435699) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.28176, -0.374287) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94276, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.29473, -0.333129) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.3092, -0.292273) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52582) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.33224, -0.238984) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94276, -1.52578) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.35731, -0.19279) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.38241, -0.153448) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.4149, -0.0966408) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.41491, -0.0966376) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.41491, -0.0966376) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.41491, -0.0966376) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.46372, 0.112243) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.46821, 0.171669) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.46561, 0.233294) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.46064, 0.286161) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.45241, 0.355448) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94275, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.44361, 0.416564) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.44041, 0.458734) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.4401, 0.521983) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.44087, 0.552488) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.44218, 0.600486) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52578) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.44461, 0.650248) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.44754, 0.691223) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.45327, 0.749578) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.45929, 0.802346) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94271, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.46945, 0.853471) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.48314, 0.905487) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.48944, 0.949531) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.48631, 1.00627) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.47923, 1.03898) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.47834, 1.08603) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.45907, 1.13421) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.44279, 1.1758) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.42823, 1.21596) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.4141, 1.25912) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.4054, 1.29077) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.52578) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.39383, 1.30558) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.38433, 1.3137) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.37816, 1.31659) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.37558, 1.31561) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.37224, 1.30776) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.3683, 1.29556) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.36426, 1.27106) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.36308, 1.24738) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94274, -1.52582) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.36195, 1.21144) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.36079, 1.1729) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.52579) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.35922, 1.1433) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94273, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.3594, 1.10612) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94271, -1.52581) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.35791, 1.08221) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94271, -1.5258) (-2.63877, 2.30803) 
(2.12608, 1.44719) (-2.35786, 1.06132) (-2.50126, 2.65492) (-3.06363, 2.50943) (-1.94272, -1.52579) (-2.63877, 2.30803) 
