(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601712) (0.0434285, 2.48426) (-0.39178, 1.87052) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40586, 0.601746) (0.0435082, 2.48424) (-0.410348, 1.93071) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601716) (0.0435983, 2.48422) (-0.426674, 1.98169) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601736) (0.0435275, 2.48425) (-0.439487, 2.02777) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601722) (0.0434323, 2.48428) (-0.45522, 2.08463) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601727) (0.0434707, 2.48427) (-0.469513, 2.13741) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601734) (0.0433984, 2.48427) (-0.482361, 2.19235) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601743) (0.043414, 2.48429) (-0.493201, 2.23002) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601708) (0.0434619, 2.48428) (-0.506313, 2.27531) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601714) (0.0434383, 2.48427) (-0.518792, 2.30782) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601727) (0.0434256, 2.48426) (-0.534153, 2.34638) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601698) (0.0434243, 2.48427) (-0.550884, 2.38003) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601736) (0.0434517, 2.48426) (-0.56478, 2.40517) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601721) (0.043531, 2.48434) (-0.576809, 2.43713) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601731) (0.0435882, 2.48446) (-0.585129, 2.46569) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601749) (0.0435902, 2.48436) (-0.58303, 2.49906) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601686) (0.0434429, 2.48427) (-0.57669, 2.52227) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40585, 0.601723) (0.0434632, 2.48426) (-0.568969, 2.54206) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601732) (0.0434123, 2.48427) (-0.557736, 2.57108) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601689) (0.0434231, 2.48426) (-0.545784, 2.59498) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601695) (0.0434317, 2.48428) (-0.536592, 2.61928) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601744) (0.043442, 2.48426) (-0.525017, 2.646) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601699) (0.0434393, 2.48426) (-0.517066, 2.6647) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601678) (0.0434352, 2.48426) (-0.510169, 2.68118) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601705) (0.0434796, 2.48426) (-0.499931, 2.70023) 
